10,17186,3,41784,4,67,2
20,13,1,14745,6,16,1
40,20,1,14023,22,20,0
80,44,1,15500,128,38,1
160,65,3,13886,343,96,1
320,146,5,13915,781,172,1
640,246,10,14116,760,322,2
1280,492,18,14324,1413,729,1
2560,993,43,16302,5734,741,3
5120,1998,132,13819,24785,157,4
10240,608,281,14496,108154,255,4
20480,241,8,14169,481245,506,4
40960,492,15,14725,2078158,996,5
81920,908,32,14917,8664958,2454,5
163840,1873,59,18510,0,17582,1
327680,3970,145,15696,0,35639,4
655360,7681,224,17530,0,74325,4
1310720,15611,451,19717,0,153122,5
2621440,30802,1035,24195,0,318258,6
5242880,70713,1917,30281,0,682481,6
10485760,123539,3645,80677,0,1427156,6
20971520,247723,7682,109486,0,2870358,6
41943040,500193,15167,177659,0,6074323,6
83886080,1009041,29556,324590,0,12424298,6
167772160,2031811,73884,1073754,0,26797121,8
335544320,4067766,136117,122839021,0,56266547,8
